Exon mobile;Equity;#Shares;100000;
30/07/1997;31,6875;32,03125;31,5625;31,96875
31/07/1997;32;32,59375;31,875;32,125
01/08/1997;32,125;32,375;31,03125;31,8125
04/08/1997;31,75;32,1875;31,6875;32
05/08/1997;32;32;31,53125;31,78125
06/08/1997;31,6875;32,71875;31,6875;32,4375
07/08/1997;32,375;32,5;32;32,0625
08/08/1997;31,5625;31,5625;30,6875;31
11/08/1997;31,09375;31,84375;30,96875;31,4375
12/08/1997;31,5;31,71875;31,0625;31,25
13/08/1997;31,15625;31,46875;30;30,375
14/08/1997;30,75;30,84375;29,96875;30,1875
15/08/1997;29,9375;30,1875;29,5;29,5
18/08/1997;29,59375;31,15625;29,3125;31,09375
19/08/1997;31,125;31,1875;30,4375;31,125
20/08/1997;31,09375;31,78125;30,96875;31,6875
21/08/1997;31,8125;31,8125;30,75;31,15625
22/08/1997;30,625;31,4375;30,34375;31,375
25/08/1997;31,46875;31,75;30,90625;31,15625
26/08/1997;31,1875;31,40625;30,5625;30,875
27/08/1997;30,75;31,71875;30,46875;31,625
28/08/1997;31,53125;31,59375;30,5625;30,9375
29/08/1997;30,53125;31,09375;30,53125;30,59375
02/09/1997;30,65625;32;30,65625;32
03/09/1997;32;32,25;31,4375;32,0625
04/09/1997;31,9375;32,375;31,625;32,125
05/09/1997;32,34375;32,5;31,53125;32
08/09/1997;32,25;32,46875;31,96875;32,125
09/09/1997;32,125;32,46875;31,71875;32,25
10/09/1997;31,875;32,15625;31,40625;31,46875
11/09/1997;31,28125;31,40625;30,59375;31,0625
12/09/1997;31,125;31,53125;30,65625;31,53125
15/09/1997;31,3125;31,8125;31,3125;31,375
16/09/1997;31,5625;32,59375;31,5625;32,3125
17/09/1997;32,46875;32,75;32,1875;32,3125
18/09/1997;32,21875;33,625;32,21875;33
19/09/1997;33;33;32,5;32,90625
22/09/1997;32,96875;33,03125;31,625;32,09375
23/09/1997;32,0625;32,625;31,9375;32,5625
24/09/1997;32,59375;32,875;32,0625;32,09375
25/09/1997;32,21875;32,75;31,90625;31,9375
26/09/1997;32;32,15625;31,75;32,125
29/09/1997;31,875;32,5625;31,78125;32,40625
30/09/1997;32,1875;32,625;31,9375;32,03125
01/10/1997;32,125;32,875;32,0625;32,65625
02/10/1997;32,5;32,625;32,15625;32,46875
03/10/1997;32,8125;33,21875;32,0625;32,59375
06/10/1997;33,25;33,4375;32,875;33,375
07/10/1997;33,3125;33,4375;33,03125;33,40625
08/10/1997;33,0625;33,25;32,1875;32,625
09/10/1997;32,28125;32,65625;32,28125;32,40625
10/10/1997;32,21875;32,40625;31,8125;32,28125
13/10/1997;32,4375;32,5625;32,1875;32,28125
14/10/1997;32,46875;32,53125;31,78125;32,28125
15/10/1997;32,125;32,59375;32,125;32,40625
16/10/1997;32,625;32,78125;31,6875;32
17/10/1997;31,6875;32,21875;31,53125;31,8125
20/10/1997;31,78125;32,5625;31,53125;32,5
21/10/1997;32,59375;32,65625;32,1875;32,5625
22/10/1997;32,625;32,65625;32,3125;32,4375
23/10/1997;31,9375;32,375;31,28125;31,5625
24/10/1997;31,9375;31,96875;30,84375;31,3125
27/10/1997;31,375;31,90625;28,9375;29
28/10/1997;28,5625;30,75;27,375;30,71875
29/10/1997;30,625;30,625;29,75;30,15625
30/10/1997;29,875;30,8125;29,75;30,34375
31/10/1997;30,625;30,9375;29,71875;30,71875
03/11/1997;31,0625;31,75;30,9375;31,125
04/11/1997;31;31,40625;30,75;31,28125
05/11/1997;31,28125;31,4375;30,6875;30,9375
06/11/1997;30,84375;31;30,28125;30,625
07/11/1997;30;30,28125;29,46875;30,0625
10/11/1997;30,5625;30,625;29,625;29,84375
11/11/1997;30;30,34375;29,78125;29,90625
12/11/1997;29,40625;29,84375;29,3125;29,4375
13/11/1997;29,75;30,03125;29,53125;29,9375
14/11/1997;30,15625;30,71875;29,8125;30,46875
17/11/1997;30,875;31,3125;30,59375;30,96875
18/11/1997;31,09375;31,4375;31;31,09375
19/11/1997;31;31,21875;30,6875;31,03125
20/11/1997;31,03125;31,71875;30,75;31,34375
21/11/1997;31,5;32,0625;31,25;31,96875
24/11/1997;31,6875;31,90625;31,21875;31,4375
25/11/1997;31,46875;31,5625;30,1875;30,5625
26/11/1997;30,46875;30,96875;30,4375;30,59375
28/11/1997;30,65625;30,75;30,46875;30,5
01/12/1997;30,5;30,875;30;30,78125
02/12/1997;30,65625;31,125;30,53125;30,59375
03/12/1997;30,53125;31,59375;30,53125;31,21875
04/12/1997;31,46875;31,625;31,0625;31,15625
05/12/1997;31,21875;32,375;31,21875;32
08/12/1997;32,0625;32,125;31,40625;31,59375
09/12/1997;31,625;31,71875;31,0625;31,1875
10/12/1997;31,15625;31,59375;31,03125;31,375
11/12/1997;31,46875;31,8125;31;31,1875
12/12/1997;31,1875;31,21875;30,78125;31
15/12/1997;31,0625;31,625;31,0625;31,40625
16/12/1997;31,59375;31,9375;31,5;31,78125
17/12/1997;31,875;31,9375;31,21875;31,375
18/12/1997;31,25;31,625;30,8125;30,84375
19/12/1997;30,40625;30,59375;29,625;30,125
22/12/1997;30,125;30,65625;29,90625;30,15625
23/12/1997;30,28125;30,6875;29,78125;30,09375
24/12/1997;30,21875;30,53125;29,96875;30,0625
26/12/1997;30,15625;30,53125;30,15625;30,34375
29/12/1997;30,46875;30,96875;30,28125;30,78125
30/12/1997;31,1875;31,25;30,5625;31,15625
31/12/1997;30,8125;30,875;30,375;30,59375
02/01/1998;30,53125;31,03125;30,46875;30,9375
05/01/1998;31;31,09375;30,15625;30,59375
06/01/1998;30,0625;30,28125;29,3125;29,5
07/01/1998;29,53125;30,46875;29,4375;30,4375
08/01/1998;30,3125;30,5;29,75;29,78125
09/01/1998;29,78125;29,84375;28,78125;29,0625
12/01/1998;28,375;29,5;28,3125;29,375
13/01/1998;29,75;30,0625;29,5;30,03125
14/01/1998;30,09375;30,5;29,875;30,40625
15/01/1998;30,28125;30,71875;29,625;29,75
16/01/1998;30,15625;30,78125;30;30,40625
20/01/1998;30,34375;30,625;30,15625;30,4375
21/01/1998;30,75;30,96875;30,25;30,53125
22/01/1998;30,125;30,125;29,5;29,78125
23/01/1998;29,78125;29,96875;29,09375;29,53125
26/01/1998;29,53125;30,21875;29,53125;30,125
27/01/1998;30,1875;30,5;30,09375;30,1875
28/01/1998;30,09375;30,25;29,5;29,59375
29/01/1998;29,875;30,4375;29,65625;30,375
30/01/1998;30,28125;30,3125;29,5625;29,65625
02/02/1998;30,375;30,40625;30,09375;30,25
03/02/1998;30,125;30,625;30,09375;30,40625
04/02/1998;30,28125;31;30,28125;30,78125
05/02/1998;31;31,21875;30,6875;30,96875
06/02/1998;30,75;31,125;30,75;31
09/02/1998;31;31,09375;30,625;31
10/02/1998;31;31,09375;30,78125;31,03125
11/02/1998;31,0625;31,46875;30,9375;31,34375
12/02/1998;31,3125;31,71875;30,9375;31,53125
13/02/1998;31,4375;31,6875;31,3125;31,5625
17/02/1998;31,625;31,625;30,96875;31,0625
18/02/1998;31,15625;32,03125;31,125;31,90625
19/02/1998;31,9375;32;31,65625;31,8125
20/02/1998;31,78125;32,21875;31,59375;32,15625
23/02/1998;31,71875;31,71875;30,875;31,25
24/02/1998;31,34375;31,59375;31,125;31,375
25/02/1998;31,46875;31,5625;31,125;31,40625
26/02/1998;31,40625;31,75;31,3125;31,53125
27/02/1998;31,46875;32,03125;31,40625;31,875
02/03/1998;31,9375;32,0625;31,53125;31,75
03/03/1998;31,75;32,15625;31,6875;32,125
04/03/1998;32,125;32,21875;31,625;31,71875
05/03/1998;31,4375;31,71875;31,28125;31,46875
06/03/1998;31,46875;31,46875;31,25;31,375
09/03/1998;31,46875;31,46875;31,09375;31,25
10/03/1998;31,4375;31,78125;31,375;31,71875
11/03/1998;32;32,09375;31,6875;31,96875
12/03/1998;31,84375;32;31,59375;31,9375
13/03/1998;31,96875;32,1875;31,875;32,15625
16/03/1998;32,15625;32,21875;31,96875;32,09375
17/03/1998;32;32;31,0625;31,46875
18/03/1998;31,59375;32,34375;31,46875;32,3125
19/03/1998;32,34375;32,5;32,1875;32,40625
20/03/1998;32,5;33,875;32,40625;33,5625
23/03/1998;34,96875;35;33,875;34
24/03/1998;34,3125;34,375;33,96875;34,1875
25/03/1998;34,34375;34,59375;33,71875;33,875
26/03/1998;33,84375;34,5;33,78125;34,09375
27/03/1998;34,21875;34,28125;33,46875;33,8125
30/03/1998;33,875;34,15625;33,34375;33,96875
31/03/1998;34,25;34,25;33,59375;33,8125
01/04/1998;33,875;34,5;33,6875;34,46875
02/04/1998;34,34375;34,96875;34,34375;34,9375
03/04/1998;34,9375;34,96875;34,375;34,59375
06/04/1998;34,65625;34,875;34,21875;34,21875
07/04/1998;34,21875;34,40625;33,5625;33,875
08/04/1998;33,90625;33,96875;32,6875;33,0625
09/04/1998;33,0625;33,53125;33,0625;33,375
13/04/1998;33,53125;33,96875;33,25;33,84375
14/04/1998;33,71875;33,8125;33,3125;33,59375
15/04/1998;33,9375;34,46875;33,625;34,34375
16/04/1998;34,4375;35,5;34,25;35,15625
17/04/1998;35,46875;36,1875;35,21875;36,03125
20/04/1998;36,5;36,625;36,03125;36,46875
21/04/1998;36,625;36,71875;36,1875;36,65625
22/04/1998;36,78125;36,84375;36,34375;36,46875
23/04/1998;36,34375;37;36,34375;36,875
24/04/1998;36,96875;37,34375;36,75;36,75
27/04/1998;36,53125;37,3125;36,53125;37,15625
28/04/1998;37,25;37,25;36,4375;36,6875
29/04/1998;36,6875;36,8125;36,46875;36,46875
30/04/1998;36,5;36,71875;36,15625;36,53125
01/05/1998;37;37,9375;36,90625;37,8125
04/05/1998;38;38;37,21875;37,375
05/05/1998;37,0625;37,5;36,75;37
06/05/1998;37,03125;37,5625;37,03125;37,21875
07/05/1998;37,09375;37,125;36,5;36,625
08/05/1998;36,59375;37,21875;36,15625;36,59375
11/05/1998;36,25;36,65625;36,09375;36,46875
12/05/1998;36,5;37;36,46875;36,90625
13/05/1998;36,8125;37,25;36,6875;36,8125
14/05/1998;36,78125;36,9375;36,46875;36,8125
15/05/1998;36,875;37,375;36,84375;36,84375
18/05/1998;36,84375;36,96875;36,1875;36,28125
19/05/1998;36,3125;36,46875;35,8125;36,15625
20/05/1998;36,0625;36,28125;35,375;35,625
21/05/1998;35,53125;35,78125;34,90625;35,1875
22/05/1998;35,40625;35,40625;35,09375;35,28125
26/05/1998;35,40625;35,40625;34,78125;34,78125
27/05/1998;34,8125;35,375;34,5;35,1875
28/05/1998;35,25;35,5625;35;35,46875
29/05/1998;35,46875;35,625;34,96875;35,25
01/06/1998;35,25;35,34375;34,9375;35,3125
02/06/1998;35,5;35,53125;34,78125;34,96875
03/06/1998;34,6875;35,15625;34,5;34,5
04/06/1998;34,53125;35,25;34,53125;35,15625
05/06/1998;35,28125;35,9375;35,15625;35,90625
08/06/1998;35,90625;35,90625;35,46875;35,59375
09/06/1998;35,375;35,46875;34,78125;34,96875
10/06/1998;34,84375;35,25;34,3125;34,40625
11/06/1998;34,875;34,875;33,6875;34,03125
12/06/1998;34,09375;34,78125;33,875;34,65625
15/06/1998;34,5;34,5625;34,0625;34,25
16/06/1998;34,25;34,96875;33,9375;34,78125
17/06/1998;35,1875;35,75;34,96875;35,5
18/06/1998;35,375;35,46875;34,9375;35,375
19/06/1998;35,5;35,71875;35,03125;35,03125
22/06/1998;35,03125;35,78125;35,03125;35,3125
23/06/1998;35,5625;35,9375;35,53125;35,90625
24/06/1998;36;36,21875;35,78125;36,21875
25/06/1998;36,21875;36,53125;36;36,25
26/06/1998;36,375;36,5;35,8125;36,125
29/06/1998;36,09375;36,15625;35,75;35,75
30/06/1998;36,125;36,5;35,625;35,6875
01/07/1998;36,03125;36,46875;35,78125;36,46875
02/07/1998;36,15625;36,90625;36,125;36,4375
06/07/1998;36,34375;36,71875;36,3125;36,65625
07/07/1998;36,53125;36,6875;36,34375;36,375
08/07/1998;36,375;36,71875;36,375;36,59375
09/07/1998;36,21875;36,40625;35,40625;35,875
10/07/1998;35,75;36,1875;35,5625;35,84375
13/07/1998;35,75;35,78125;35,03125;35,25
14/07/1998;35,125;36,125;35,125;36,03125
15/07/1998;35,90625;36,125;35,65625;35,8125
16/07/1998;35,75;35,78125;35,0625;35,6875
17/07/1998;35,78125;36,21875;35,5;36,1875
20/07/1998;36,125;36,1875;35,03125;35,28125
21/07/1998;35,28125;35,71875;35;35,09375
22/07/1998;35,21875;36;35;35,90625
23/07/1998;35,75;35,9375;34,9375;35,0625
24/07/1998;34,90625;35,40625;34,8125;35,1875
27/07/1998;35;35,75;34,90625;35,71875
28/07/1998;35,375;35,53125;34,09375;34,8125
29/07/1998;34,84375;35,375;34,65625;35,34375
30/07/1998;35,46875;36,125;35,375;36,0625
31/07/1998;36;36;34,8125;35,125
03/08/1998;34,8125;34,8125;34,03125;34,25
04/08/1998;34,375;34,59375;33,5;33,5625
05/08/1998;33,5625;33,5625;32;33,09375
06/08/1998;32,96875;33;32;32,46875
07/08/1998;32,53125;33,8125;32,28125;33,46875
10/08/1998;33,40625;34,28125;33,1875;33,8125
11/08/1998;33,65625;34,25;32,90625;34
12/08/1998;33,78125;34,15625;33,0625;33,53125
13/08/1998;33,5625;34,125;33,46875;34,09375
14/08/1998;34,09375;34,59375;33,96875;34,1875
17/08/1998;33,9375;34,96875;33,90625;34,8125
18/08/1998;34,5;35,21875;34,375;35,09375
19/08/1998;35,03125;35,40625;34,9375;35,375
20/08/1998;35,40625;36,03125;35,0625;35,65625
21/08/1998;35,5;35,6875;34,78125;35,4375
24/08/1998;35,75;35,8125;35;35,28125
25/08/1998;35,40625;35,84375;35;35,1875
26/08/1998;34,78125;35,4375;34,75;35,1875
27/08/1998;34,75;35,3125;34,625;34,625
28/08/1998;34,625;34,90625;33,65625;33,78125
31/08/1998;33,96875;34,5625;32,5;32,71875
01/09/1998;32,25;33,3125;31,0625;33,1875
02/09/1998;33,125;33,34375;31,75;32
03/09/1998;31,6875;32,25;31;31,96875
04/09/1998;32,25;33,25;31,6875;33,03125
08/09/1998;33,5625;33,84375;32,875;33,71875
09/09/1998;33,71875;34,625;33,53125;34,34375
10/09/1998;34,1875;35,34375;33,6875;34,84375
11/09/1998;34,90625;35,46875;34,3125;35,28125
14/09/1998;35,40625;35,71875;35,125;35,25
15/09/1998;35,03125;35,78125;35,03125;35,625
16/09/1998;35,5;35,53125;34,34375;34,90625
17/09/1998;34,53125;34,6875;34,1875;34,28125
18/09/1998;34;34,09375;33,21875;34,0625
21/09/1998;33,5625;34,28125;33,40625;34,09375
22/09/1998;34,21875;34,21875;33,25;33,53125
23/09/1998;33,75;35,1875;33,71875;35,15625
24/09/1998;34,8125;35,28125;34,40625;34,6875
25/09/1998;34,40625;34,9375;34,15625;34,1875
28/09/1998;34,21875;34,5;33,75;34,03125
29/09/1998;34,28125;35,625;33,8125;35,625
30/09/1998;35,5;35,5625;34,6875;35,3125
01/10/1998;35,09375;35,875;35,03125;35,28125
02/10/1998;35,3125;36,78125;35,3125;36,5
05/10/1998;36,28125;37,625;36,28125;37,4375
06/10/1998;37,625;37,9375;37,28125;37,875
07/10/1998;37,875;37,9375;36,625;37,03125
08/10/1998;36,625;36,625;35,5;35,84375
09/10/1998;36,0625;36,25;35,125;35,375
12/10/1998;36,0625;36,09375;35,4375;35,90625
13/10/1998;36,21875;36,9375;35,875;36,5
14/10/1998;36,8125;37,1875;36,65625;37
15/10/1998;37,03125;37,96875;36,78125;37,8125
16/10/1998;38,09375;38,28125;37,75;38,15625
19/10/1998;38,125;38,375;37,1875;37,4375
20/10/1998;37,46875;38,46875;37,4375;38,28125
21/10/1998;38,34375;38,46875;37,75;37,78125
22/10/1998;37,65625;37,6875;35,46875;35,875
23/10/1998;35,9375;35,9375;35,25;35,625
26/10/1998;35,6875;36,09375;35,53125;35,59375
27/10/1998;35,90625;36,25;34,71875;34,78125
28/10/1998;34,84375;35,5;34,78125;35,21875
29/10/1998;35,28125;36,40625;35,1875;36,34375
30/10/1998;36,71875;36,75;35,625;35,8125
02/11/1998;35,6875;36,46875;35,6875;36,03125
03/11/1998;36,3125;36,9375;35,8125;36,5
04/11/1998;36,625;36,96875;35,90625;36
05/11/1998;35,96875;36,4375;35,3125;36,4375
06/11/1998;36,3125;36,8125;36,1875;36,75
09/11/1998;36,46875;36,5625;35,625;36
10/11/1998;35,9375;36,125;35,0625;35,0625
11/11/1998;35,5625;35,6875;34,875;35,125
12/11/1998;35,4375;36,6875;35,40625;36,40625
13/11/1998;36,65625;36,90625;35,5;36,4375
16/11/1998;36,21875;36,3125;35,5;35,71875
17/11/1998;35,59375;36,21875;35,25;35,28125
18/11/1998;35,1875;35,5;34,90625;35,34375
19/11/1998;35,34375;35,46875;34,78125;34,9375
20/11/1998;35,25;36,0625;35,0625;36
23/11/1998;36,09375;36,25;35,46875;36,03125
24/11/1998;36;36,65625;35,9375;36,34375
25/11/1998;35,9375;36,65625;35,71875;36,34375
27/11/1998;37,4375;38,65625;37,125;37,1875
30/11/1998;37,125;37,875;36,71875;37,5
01/12/1998;36,25;36,3125;35,5;35,8125
02/12/1998;35,78125;36,25;35,4375;35,625
03/12/1998;35,5;35,5;35,03125;35,28125
04/12/1998;35,59375;35,75;35,125;35,75
07/12/1998;35,75;36,59375;35,71875;36,5
08/12/1998;36,375;36,75;36,1875;36,59375
09/12/1998;36,46875;37;36,46875;36,96875
10/12/1998;37;37,09375;36,78125;36,875
11/12/1998;36,90625;37,375;36,78125;37,3125
14/12/1998;37,25;37,46875;36,8125;37,21875
15/12/1998;37,375;37,40625;36,8125;37
16/12/1998;37,28125;37,875;37,0625;37,78125
17/12/1998;37,53125;37,6875;36,9375;37,4375
18/12/1998;37,375;38,09375;37,25;37,96875
21/12/1998;37,96875;38,34375;37,375;37,40625
22/12/1998;37,28125;37,75;37,25;37,46875
23/12/1998;37,5;37,65625;37,25;37,53125
24/12/1998;37,5625;37,65625;37,25;37,3125
28/12/1998;37,25;37,375;37;37,25
29/12/1998;37,21875;37,875;36,96875;37,8125
30/12/1998;37,6875;37,96875;37,25;37,3125
31/12/1998;37,125;37,1875;36,53125;36,5625
04/01/1999;36,375;37,0625;36,125;36,3125
05/01/1999;36,25;36,46875;35,84375;36
06/01/1999;36,5625;37,90625;36,34375;37,4375
07/01/1999;37,21875;37,46875;36,875;37,375
08/01/1999;37,125;37,34375;36,46875;37,15625
11/01/1999;36,375;36,75;35,40625;35,625
12/01/1999;35,65625;36,1875;35,25;35,375
13/01/1999;35;35,9375;34,875;35,25
14/01/1999;35,125;35,46875;34,78125;34,875
15/01/1999;35,21875;35,5625;34,90625;35,53125
19/01/1999;35,5;35,65625;35,3125;35,53125
20/01/1999;35,53125;35,78125;35,34375;35,5
21/01/1999;35,5;35,90625;35,40625;35,5625
22/01/1999;35,53125;35,84375;35,40625;35,6875
25/01/1999;35,65625;36,09375;35,3125;36
26/01/1999;35,875;36,25;35,6875;36,125
27/01/1999;36,125;36,25;35,375;35,5
28/01/1999;35,125;35,75;35,125;35,5
29/01/1999;35,28125;35,5;35,03125;35,125
01/02/1999;35,03125;35,25;34,78125;34,8125
02/02/1999;34,6875;34,9375;34,125;34,34375
03/02/1999;34,5;35,28125;34,3125;35,1875
04/02/1999;35,28125;35,28125;34,625;34,90625
05/02/1999;35,03125;35,96875;34,90625;35,84375
08/02/1999;35,625;36,34375;35,46875;36,34375
09/02/1999;36,3125;36,71875;36,09375;36,09375
10/02/1999;35,78125;36,65625;35,78125;36,28125
11/02/1999;35,9375;36,09375;34,5;35,1875
12/02/1999;35,125;35,6875;34,40625;34,71875
16/02/1999;34,59375;34,96875;33,90625;34,28125
17/02/1999;34,4375;34,9375;34,25;34,3125
18/02/1999;34,40625;34,53125;33,90625;34,4375
19/02/1999;34;34,46875;33,875;34,25
22/02/1999;34,1875;34,46875;34,03125;34,09375
23/02/1999;34,0625;34,34375;33,75;33,875
24/02/1999;33,90625;34,21875;33,5625;33,65625
25/02/1999;33,625;33,90625;33,3125;33,65625
26/02/1999;33,75;33,8125;33,1875;33,28125
01/03/1999;33,15625;33,15625;32,40625;32,59375
02/03/1999;32,71875;32,9375;32,28125;32,40625
03/03/1999;32,40625;32,84375;32,15625;32,84375
04/03/1999;32,84375;34,21875;32,75;33,90625
05/03/1999;34,625;35,0625;34,40625;34,84375
08/03/1999;35;35,46875;34,75;35,46875
09/03/1999;35,34375;35,71875;34,96875;34,96875
10/03/1999;35,5625;36,8125;35,4375;36,65625
11/03/1999;37;38,1875;37;37,375
12/03/1999;37,96875;37,96875;36,875;36,96875
15/03/1999;36,65625;36,96875;36,5625;36,84375
16/03/1999;36,84375;36,96875;36,375;36,5625
17/03/1999;36,625;37,28125;36,625;37,1875
18/03/1999;37,3125;37,6875;37,25;37,34375
19/03/1999;37,46875;37,46875;36,40625;36,53125
22/03/1999;36,5625;37,0625;36,1875;36,875
23/03/1999;36,90625;36,9375;36,09375;36,375
24/03/1999;36,40625;36,625;35,25;35,46875
25/03/1999;35,40625;35,84375;35,25;35,71875
26/03/1999;35,84375;36,09375;35,5625;35,78125
29/03/1999;35,84375;36,59375;35,84375;36,5
30/03/1999;36,375;36,375;35,5;35,65625
31/03/1999;35,65625;35,875;35,25;35,28125
01/04/1999;35,15625;35,1875;34,71875;35,0625
05/04/1999;35,1875;36,25;35,03125;36,09375
06/04/1999;36,125;36,4375;36,03125;36,34375
07/04/1999;36,34375;36,625;36,03125;36,59375
08/04/1999;36,71875;37,3125;36,46875;37,125
09/04/1999;37,03125;37,46875;36,6875;37,34375
12/04/1999;37,34375;37,9375;37;37,71875
13/04/1999;37,5;37,875;37,28125;37,59375
14/04/1999;37,53125;37,625;37,09375;37,09375
15/04/1999;37,125;39,1875;37,125;38,78125
16/04/1999;38,8125;40;38,65625;39,96875
19/04/1999;40,375;41,75;40,21875;41,125
20/04/1999;40,9375;40,9375;40,1875;40,375
21/04/1999;40,3125;40,3125;38,59375;39,21875
22/04/1999;39,1875;39,625;38,3125;39,46875
23/04/1999;39,46875;39,5625;38,6875;39,15625
26/04/1999;39,15625;39,15625;38,375;38,84375
27/04/1999;38,9375;39,46875;38,78125;39,125
28/04/1999;39,5;41,25;39,28125;40,75
29/04/1999;40,875;42,625;40,3125;42,25
30/04/1999;42,125;42,125;41,09375;41,53125
03/05/1999;41,5;43,25;41,28125;43,03125
04/05/1999;43,3125;43,625;43;43,21875
05/05/1999;43,1875;43,1875;42,0625;42,40625
06/05/1999;41,9375;42,28125;40,8125;41,1875
07/05/1999;41,1875;41,59375;40,75;41,375
10/05/1999;41;41,8125;40,96875;41,1875
11/05/1999;41,28125;41,3125;40,65625;40,8125
12/05/1999;40,25;40,25;39;39,53125
13/05/1999;39,65625;40,0625;39,65625;39,6875
14/05/1999;39,59375;39,96875;39,125;39,375
17/05/1999;39,3125;39,625;39,15625;39,5
18/05/1999;39,5625;39,5625;38,78125;38,875
19/05/1999;39,0625;39,46875;38,875;39,34375
20/05/1999;39,375;40,03125;39,125;40
21/05/1999;40,0625;41,5;39,8125;41,375
24/05/1999;41,375;41,8125;39,5;39,8125
25/05/1999;39,8125;41,15625;39,8125;40,09375
26/05/1999;40,21875;41,375;40,0625;40,96875
27/05/1999;40,9375;40,9375;39,3125;39,40625
28/05/1999;39,4375;39,9375;39;39,9375
01/06/1999;39,8125;39,8125;38,65625;39,375
02/06/1999;39,625;40,46875;39,625;40,125
03/06/1999;40,25;40,625;39,4375;39,96875
04/06/1999;40,0625;40,375;39,4375;40,34375
07/06/1999;40,21875;40,46875;40;40,4375
08/06/1999;40,3125;40,4375;39,625;39,90625
09/06/1999;39,84375;40,25;39,46875;40,0625
10/06/1999;39,875;40,1875;39,53125;39,8125
11/06/1999;39,9375;40,15625;39,34375;39,46875
14/06/1999;39,46875;40,8125;39,46875;40,5625
15/06/1999;40,5;41,71875;40,40625;41,0625
16/06/1999;41,4375;41,5;40,15625;40,28125
17/06/1999;40,34375;40,65625;40;40,625
18/06/1999;40,40625;41,0625;40,09375;40,1875
21/06/1999;39,71875;39,9375;38,6875;39,125
22/06/1999;38,625;38,9375;38,40625;38,5
23/06/1999;38,78125;39,25;38,78125;39,0625
24/06/1999;39,03125;39,125;37,90625;38,25
25/06/1999;38,125;38,40625;37,9375;38,09375
28/06/1999;38,15625;38,25;37,4375;37,53125
29/06/1999;37,71875;38,5625;37,46875;38,5
30/06/1999;38,71875;39,0625;38,46875;38,5625
01/07/1999;38,5625;39,375;38,5;39,21875
02/07/1999;39,5;39,8125;38,9375;39,75
06/07/1999;39,71875;40,15625;39,65625;40,03125
07/07/1999;40,125;40,28125;39,25;40,21875
08/07/1999;40,3125;40,8125;39,78125;39,8125
09/07/1999;39,6875;39,9375;39,375;39,71875
12/07/1999;39,84375;39,9375;39,53125;39,71875
13/07/1999;39,34375;39,65625;39,0625;39,21875
14/07/1999;39,28125;39,46875;39,125;39,21875
15/07/1999;39,3125;39,625;39,21875;39,46875
16/07/1999;39,5;39,71875;38,9375;39,65625
19/07/1999;39,3125;39,5625;39,03125;39,40625
20/07/1999;39,4375;39,5;38,625;38,96875
21/07/1999;38,46875;39,3125;38,125;39,0625
22/07/1999;39;39,125;37,65625;39,09375
23/07/1999;39,09375;39,59375;38,875;39,5625
26/07/1999;39,53125;40,3125;38,90625;39
27/07/1999;39,15625;39,3125;38,5625;38,78125
28/07/1999;38,6875;39,875;38,5625;39,46875
29/07/1999;39,0625;39,1875;38,71875;38,9375
30/07/1999;39,40625;39,96875;39,21875;39,6875
02/08/1999;39,875;39,875;38,8125;38,9375
03/08/1999;39;39,40625;38,65625;39,40625
04/08/1999;39,40625;40,1875;39,21875;39,9375
05/08/1999;40,1875;41,09375;40;41,09375
06/08/1999;40,875;40,90625;39,90625;40,1875
09/08/1999;40,28125;40,5;39,96875;40,1875
10/08/1999;40,3125;40,8125;40,1875;40,59375
11/08/1999;40,4375;41,0625;40,25;40,96875
12/08/1999;41;41,125;40,5625;40,90625
13/08/1999;41,03125;41,09375;40,46875;40,78125
16/08/1999;40,65625;40,78125;40,15625;40,78125
17/08/1999;40,8125;41;40,46875;40,90625
18/08/1999;40,78125;41,34375;40,5625;41,28125
19/08/1999;40,6875;41,3125;40,625;40,90625
20/08/1999;41,125;41,3125;40,65625;41,28125
23/08/1999;41,3125;41,46875;41;41,40625
24/08/1999;41,1875;41,28125;40,40625;40,8125
25/08/1999;41,0625;41,25;40,5;41,125
26/08/1999;40,8125;40,96875;40;40,15625
27/08/1999;40,25;40,46875;39,5625;39,65625
30/08/1999;39,65625;39,875;38,90625;38,90625
31/08/1999;39,03125;39,9375;39;39,4375
01/09/1999;39,5;39,59375;39,0625;39,15625
02/09/1999;38,9375;39,25;38,375;38,75
03/09/1999;38,875;39,625;38,8125;39,53125
07/09/1999;39,53125;40;39,3125;39,75
08/09/1999;39,625;40,65625;39,625;40,59375
09/09/1999;40,78125;41,5;40,59375;40,625
10/09/1999;40,75;40,875;40,15625;40,21875
13/09/1999;39,875;40,0625;39,25;39,3125
14/09/1999;39,1875;40,125;39,15625;39,59375
15/09/1999;39,59375;39,59375;38,40625;38,625
16/09/1999;38,6875;39;38,1875;38,84375
17/09/1999;39,1875;40,09375;38,9375;39,9375
20/09/1999;40;40;38,90625;39,09375
21/09/1999;38,75;38,9375;38,03125;38,375
22/09/1999;38,40625;38,71875;37,6875;37,6875
23/09/1999;37,9375;38,71875;37,15625;37,40625
24/09/1999;37,125;37,53125;36,875;37,40625
27/09/1999;37,375;38,03125;37,1875;37,5625
28/09/1999;37,28125;37,4375;36,0625;37,34375
29/09/1999;38,125;38,21875;37,3125;37,375
30/09/1999;37,59375;38,125;37,34375;38
01/10/1999;37,96875;38,0625;37,28125;37,3125
